,Gender,Occupational Status,Marital Status,Age Group,Monthly Income (Php),"Upon booking at a resort, which activity would you be most inclined to participate in first?",Select the activities you would participate in (Select 1 or more),How long do you expect to spend time in the following facilities [Swimming Pool],How long do you expect to spend time in the following facilities [Beach],How long do you expect to spend time in the following facilities [Recreational Room],How long do you expect to spend time in the following facilities [Spa and Wellness],How long do you expect to spend time in the following facilities [Gym and Training Area],How long do you expect to spend time in the following facilities [Sports Center],"If you have selected Swimming Pool, which activities would you participate in? (Select 1 or more)","Among the activities listed for Swimming Pool, which among the given would you prioritize?",Which items do you expect in the shower rooms prior to swimming activities (Provided that you participate in swimming)?,"If you had selected Beach/Beach Activities, which activities would you participate in? (Select 1 or more)","Among the activities listed for Beach/Beach Activities, which among the given would you prioritize?","If you had selected Recreational Room, which activities would you participate in? (Select 1 or more)","Among the activities listed for Recreational Room, which among the given would you prioritize?","If you had selected Spa and Wellness, which activities would you participate in? (Select 1 or more)","Among the activities listed for Spa and Wellness, which among the given would you prioritize?","If you had selected Gym and Training Area, which activities would you participate in? (Select 1 or more)","Among the activities listed for Gym and Training Area, which among the given would you prioritize?","If you had selected Sports Center, which activities would you participate in? (Select 1 or more)","Among the activities listed for Sports Center, which among the given would you prioritize?",Which days of the week are you most likely to check-in?,How many people do you bring along when having these activities?,How likely are you to consider paying separate entrance fees for each recreational facility you visit?,How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Swimming Pool],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Beach],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Recreational Room],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Spa and Wellness],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Gym and Training Center],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Sports Center],What activity do you typically engage in after participating in recreational activities?,Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Swimming Pool],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Beach],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Recreational Room],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Spa and Wellness],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Gym and Training Area],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Sports Center],Do you typically eat snacks or drink beverages during these activities?,"If you have selected yes, select the snack you eat during these activities","If you have selected yes, select the drinks you would most likely take to have."
4/4/2024 20:28:32,Female,Part-Time,Married,30-45,"9,100 to 18,200",Spa and Wellness,"Swimming Pool, Beach/Beach Activities, Spa and Wellness, Gym and Training Area",1-2 Hours,1-2 Hours,>1 Hour,3+ Hours,1-2 Hours,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Beach Swimming",Beach Swimming,,,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Yoga (e.g., mat, exercise ball)","Yoga (e.g., yoga mat, exercise ball)",,,"Sunday, Saturday",None (Solo),Yes,20 minutes,20 minutes,10 minutes or less,20 minutes,20 minutes,10 minutes or less,Relax/Sleep in room,Afternoon (12PM-5PM),Morning (5AM-11AM),Evening (6PM-11PM),Afternoon (12PM-5PM),Morning (5AM-11AM),Afternoon (12PM-5PM),No,,
4/4/2024 22:11:51,Female,Part-Time,Single,19 - 25,"Less than 9,100",Spa and Wellness,"Swimming Pool, Spa and Wellness, Gym and Training Area",>1 Hour,,,1-2 Hours,>1 Hour,,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper",,,,,"Sauna and Steam Rooms, Massage Therapy",Sauna and Steam Rooms,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Yoga (e.g., mat, exercise ball)","Cardio (e.g., treadmill, stationary bike)",,,"Sunday, Friday, Saturday",1-3,No,20 minutes,,,20 minutes,20 minutes,,Return home/Travel back immediately,Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Yes,"Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Caffinated, Water"
4/4/2024 22:23:29,Female,Part-Time,Single,26 - 30,"36,400 to 63,700",Recreational Room,"Recreational Room, Spa and Wellness, Gym and Training Area",>1 Hour,>1 Hour,>1 Hour,>1 Hour,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Kayaking/Paddling, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Console Gaming,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Yoga (e.g., mat, exercise ball), Boxing (e.g., punching bag)","Weights (e.g., dumbbells, bench press)","Basketball, Hiking/Nature Walk",Hiking/Nature Walk,"Sunday, Friday, Saturday",1-3,Yes,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,"Eat/Dine (e.g., cafe, restaurant, bar)",Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),No,,Water
4/5/2024 0:40:39,Male,Part-Time,Single,19 - 25,"Less than 9,100",Gym and Training Area,"Swimming Pool, Recreational Room, Gym and Training Area, Sports Center",3+ Hours,,1-2 Hours,,3+ Hours,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Showers, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Table Football/Foosball, Air Hockey",Billiards,,,"Weights (e.g., dumbbells, bench press), Boxing (e.g., punching bag)","Weights (e.g., dumbbells, bench press)","Basketball, Tennis",Tennis,"Sunday, Monday, Thursday, Saturday",4-6,Yes,1 hour or more,20 minutes,20 minutes,,30 minutes,20 minutes,Return home/Travel back immediately,Evening (6PM-11PM),"Afternoon (12PM-5PM), Evening (6PM-11PM)","Afternoon (12PM-5PM), Evening (6PM-11PM)","Afternoon (12PM-5PM), Evening (6PM-11PM)","Afternoon (12PM-5PM), Evening (6PM-11PM)","Afternoon (12PM-5PM), Evening (6PM-11PM)",Yes,"Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated, Water"
4/5/2024 1:35:41,Female,Part-Time,Single,19 - 25,"Less than 9,100",Recreational Room,"Recreational Room, Gym and Training Area",>1 Hour,>1 Hour,1-2 Hours,>1 Hour,1-2 Hours,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers",Beach Swimming,Beach Swimming,Console Gaming,Console Gaming,Massage Therapy,Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Yoga (e.g., mat, exercise ball)","Yoga (e.g., yoga mat, exercise ball)",Hiking/Nature Walk,Hiking/Nature Walk,Friday,1-3,Yes,10 minutes or less,30 minutes,30 minutes,10 minutes or less,30 minutes,10 minutes or less,Return home/Travel back immediately,Evening (6PM-11PM),Afternoon (12PM-5PM),"Morning (5AM-11AM), Evening (6PM-11PM)",Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Confectioneries (baked goods, chocolate bars, doughnuts), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water"
4/5/2024 2:08:30,Female,Unemployed,Single,26 - 30,"Less than 9,100",Beach,"Swimming Pool, Beach/Beach Activities, Gym and Training Area",>1 Hour,1-2 Hours,3+ Hours,>1 Hour,1-2 Hours,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Toilets/Urinals, Wipes and Toilet Paper","Kayaking/Paddling, Beach Swimming",Kayaking/Paddling,"Billiards, Console Gaming",Console Gaming,,,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike)","Cardio (e.g., treadmill, stationary bike)",,,"Sunday, Thursday, Friday, Saturday",1-3,No,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,"Eat/Dine (e.g., cafe, restaurant, bar)",Evening (6PM-11PM),"Morning (5AM-11AM), Afternoon (12PM-5PM)","Afternoon (12PM-5PM), Evening (6PM-11PM)",Evening (6PM-11PM),Morning (5AM-11AM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Caffinated, Water"
4/5/2024 6:48:48,Male,Full-time,Divorced,46-65,"109,200 +",Beach,"Swimming Pool, Beach/Beach Activities, Spa and Wellness",3+ Hours,3+ Hours,>1 Hour,1-2 Hours,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Beach Swimming",Beach Swimming,,,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,,,,,"Sunday, Monday, Friday, Saturday",1-3,No,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,"Eat/Dine (e.g., cafe, restaurant, bar)",Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),"Morning (5AM-11AM), Afternoon (12PM-5PM)",Afternoon (12PM-5PM),Afternoon (12PM-5PM),No,,"Alcoholic, Water"
4/5/2024 19:28:31,Male,Full-time,Single,30-45,"63,700 to 109,200",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room",3+ Hours,3+ Hours,3+ Hours,,,,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Kayaking/Paddling, Jetskiing",Snorkeling/Scuba Diving,"Table Tennis/Ping Pong, Darts, Console Gaming",Table Tennis/Ping Pong,"Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,,,,,"Friday, Saturday",1-3,No,10 minutes or less,10 minutes or less,20 minutes,20 minutes,,,"Eat/Dine (e.g., cafe, restaurant, bar)","Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Evening (6PM-11PM)",Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated, Water"
4/5/2024 22:53:14,Female,Unemployed,Single,19 - 25,"36,400 to 63,700",Sports Center,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",1-2 Hours,1-2 Hours,3+ Hours,1-2 Hours,>1 Hour,3+ Hours,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Kayaking/Paddling, Jetskiing",Jetskiing,"Table Tennis/Ping Pong, Billiards, Console Gaming",Billiards,"Sauna and Steam Rooms, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Cardio (e.g., treadmill, stationary bike), Yoga (e.g., mat, exercise ball)","Cardio (e.g., treadmill, stationary bike)","Volleyball, Hiking/Nature Walk",Volleyball,"Monday, Wednesday, Friday",None (Solo),Yes,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Morning (5AM-11AM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water"
4/6/2024 15:10:47,Male,Full-time,Single,26 - 30,"9,100 to 18,200",Spa and Wellness,"Swimming Pool, Spa and Wellness",>1 Hour,>1 Hour,>1 Hour,1-2 Hours,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals","Fishing, Beach Swimming",Beach Swimming,,,"Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,,,,,"Monday, Thursday",1-3,Yes,20 minutes,10 minutes or less,20 minutes,10 minutes or less,10 minutes or less,20 minutes,Relax/Sleep in room,Afternoon (12PM-5PM),Morning (5AM-11AM),Evening (6PM-11PM),Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12PM-5PM),Yes,"Healthy Options (yogurt, salads, fruit cakes)",Non-Alcoholic
4/7/2024 19:13:20,Female,Unemployed,Single,19 - 25,"Less than 9,100",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",1-2 Hours,3+ Hours,>1 Hour,3+ Hours,>1 Hour,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Surfboarding, Jetskiing, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Console Gaming",Billiards,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Boxing (e.g., punching bag), Free Space with Dance Studio Mirrors","Weights (e.g., dumbbells, bench press)","Basketball, Volleyball, Hiking/Nature Walk",Basketball,"Sunday, Saturday",1-3,Yes,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,Relax/Sleep in room,"Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM)",Evening (6PM-11PM),Afternoon (12PM-5PM),"Morning (5AM-11AM), Evening (6PM-11PM)",Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)",Water
4/8/2024 10:39:21,Male,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Recreational Room",1-2 Hours,>1 Hour,1-2 Hours,>1 Hour,>1 Hour,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper",,,"Table Tennis/Ping Pong, Billiards, Darts",Billiards,,,,,,,"Friday, Saturday",4-6,No,20 minutes,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Evening (6PM-11PM),Morning (5AM-11AM),Afternoon (12PM-5PM),Yes,"Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated, Water"
4/8/2024 10:42:47,Male,Retired,Married,66 and above,"36,400 to 63,700",Beach,Beach/Beach Activities,>1 Hour,3+ Hours,>1 Hour,>1 Hour,>1 Hour,>1 Hour,,,,"Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,,,,,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1-3,No,10 minutes or less,20 minutes,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,Relax/Sleep in room,Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated, Non-Caffinated, Water"
4/8/2024 10:47:36,Male,Unemployed,Single,18 and below,"9,100 to 18,200",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Sports Center",3+ Hours,3+ Hours,3+ Hours,>1 Hour,>1 Hour,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Air Hockey, Console Gaming",Table Tennis/Ping Pong,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,,,"Basketball, Volleyball, Hiking/Nature Walk",Basketball,"Sunday, Friday, Saturday",4-6,No,10 minutes or less,10 minutes or less,30 minutes,10 minutes or less,10 minutes or less,30 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)",Afternoon (12PM-5PM),"Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM)",Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water"
4/8/2024 10:49:23,Female,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",1-2 Hours,1-2 Hours,>1 Hour,1-2 Hours,1-2 Hours,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Billiards,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Sauna and Steam Rooms,"Weights (e.g., dumbbells, bench press)","Cardio (e.g., treadmill, stationary bike)","Tennis, Hiking/Nature Walk",Tennis,"Sunday, Friday, Saturday",4-6,Yes,30 minutes,30 minutes,20 minutes,20 minutes,20 minutes,20 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Evening (6PM-11PM),Morning (5AM-11AM),Evening (6PM-11PM),"Morning (5AM-11AM), Evening (6PM-11PM)","Morning (5AM-11AM), Evening (6PM-11PM)",Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Non-Caffeinated, Water"
4/8/2024 10:59:20,Female,Full-time,Single,19 - 25,"18,200 to 36,400",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness",3+ Hours,3+ Hours,1-2 Hours,1-2 Hours,>1 Hour,>1 Hour,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Kayaking/Paddling, Jetskiing, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Table Tennis/Ping Pong,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Yoga (e.g., mat, exercise ball)","Yoga (e.g., yoga mat, exercise ball)",Basketball,Basketball,"Sunday, Friday, Saturday",1-3,No,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,Relax/Sleep in room,Evening (6PM-11PM),Afternoon (12PM-5PM),"Afternoon (12PM-5PM), Evening (6PM-11PM)",Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Alcoholic, Non-Alcoholic, Caffeinated, Non-Caffeinated, Water"
4/8/2024 11:11:53,Male,Part-Time,Single,19 - 25,"Less than 9,100",Recreational Room,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",1-2 Hours,>1 Hour,3+ Hours,>1 Hour,1-2 Hours,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Showers, Toilets/Urinals","Surfboarding, Beach Swimming",Beach Swimming,"Billiards, Console Gaming",Billiards,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Yoga (e.g., mat, exercise ball)","Yoga (e.g., yoga mat, exercise ball)",Volleyball,Volleyball,"Sunday, Monday, Wednesday, Saturday",1-3,Yes,20 minutes,30 minutes,20 minutes,30 minutes,30 minutes,10 minutes or less,Return home/Travel back immediately,Morning (5AM-11AM),Morning (5AM-11AM),Evening (6PM-11PM),Afternoon (12PM-5PM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water"
4/8/2024 11:25:41,Male,Unemployed,Single,19 - 25,"Less than 9,100",Beach,"Swimming Pool, Beach/Beach Activities, Gym and Training Area",1-2 Hours,1-2 Hours,1-2 Hours,1-2 Hours,1-2 Hours,1-2 Hours,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels","Snorkeling/Scuba Diving, Jetskiing, Beach Swimming",Snorkeling/Scuba Diving,Billiards,Billiards,Sauna and Steam Rooms,Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike)","Weights (e.g., dumbbells, bench press)",Basketball,Basketball,"Thursday, Friday",4-6,Yes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,Relax/Sleep in room,Evening (6PM-11PM),Morning (5AM-11AM),Afternoon (12PM-5PM),Evening (6PM-11PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Yes,"Confectioneries (baked goods, chocolate bars, doughnuts)","Caffeinated, Water"
4/8/2024 12:54:14,Male,Part-Time,Single,19 - 25,"9,100 to 18,200",Beach,Beach/Beach Activities,,1-2 Hours,,,,,,,,"Snorkeling/Scuba Diving, Surfboarding, Beach Swimming",Snorkeling/Scuba Diving,,,,,,,,,Saturday,4-6,Yes,,1 hour or more,,,,,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)",Yes,"Beverages (bottled water, energy drinks, soda)",Caffeinated
4/10/2024 0:08:03,Female,Unemployed,Single,18 and below,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities",1-2 Hours,1-2 Hours,>1 Hour,>1 Hour,>1 Hour,>1 Hour,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Play with Pool Toys (e.g., inflatable toys, water guns)","Soap and shampoo, Showers, Towels","Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,,,,,,,,,"Sunday, Saturday",1-3,No,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Non-Caffeinated, Water"
4/10/2024 0:10:26,Male,Unemployed,Single,19 - 25,"9,100 to 18,200",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Gym and Training Area, Sports Center",>1 Hour,>1 Hour,>1 Hour,>1 Hour,>1 Hour,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper",Beach Swimming,Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts",Table Tennis/Ping Pong,,,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike)","Weights (e.g., dumbbells, bench press)",Basketball,Basketball,"Friday, Saturday",1-3,No,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,10 minutes or less,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffeinated, Non-Caffeinated, Water"
